Yardi HOH ID,N(Educational),N(Social),N(Bingo/Game Night),N(Campfire),N(Class),N(Community Meal),N(Doctor Visit),N(Field Trip/Outing),N(Food Shelf),N(Garden Club),N(Movie Night),N(PET Phase 1),N(Property Meeting),N(Support Group),N(Volunteer)
7498,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7517,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7797,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
7873,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
7950,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
7974,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7981,3,7,0,0,3,1,0,0,4,0,0,0,2,0,0
8113,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0
8311,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0
8411,0,6,0,0,0,4,0,0,1,0,0,0,1,0,0
8487,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8616,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
9006,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9105,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0
9109,5,8,0,1,5,4,0,0,0,0,0,0,3,0,0
9112,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
9137,1,3,0,0,0,2,0,1,0,0,1,0,0,0,0
9233,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9304,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
9343,1,11,0,0,1,2,0,0,6,0,0,0,3,0,0
9454,0,10,0,0,0,1,0,0,9,0,0,0,0,0,0
9480,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9589,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
9607,1,3,0,0,1,1,0,0,2,0,0,0,0,0,0
9610,0,20,0,0,0,7,0,0,9,0,1,0,3,0,0
9655,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
9735,0,4,1,0,0,2,0,0,0,0,1,0,0,0,0
9769,1,6,0,0,0,2,1,0,3,0,0,0,1,0,0
9781,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9835,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0
9846,0,20,0,0,0,3,0,0,0,0,17,0,0,0,0
9889,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0
9979,0,6,0,0,0,2,0,0,0,0,0,0,4,0,0
10024,1,7,0,0,1,0,0,0,6,0,0,0,1,0,0
10104,6,36,0,0,2,15,1,0,16,0,1,3,4,0,0
10454,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
10484,1,26,0,0,1,9,0,0,13,0,0,0,4,0,0
10546,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10696,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10698,4,1,0,0,4,1,0,0,0,0,0,0,0,0,0
10747,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0
10867,11,4,0,0,11,2,0,0,0,0,0,0,2,0,0
10967,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11059,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11167,0,36,0,0,0,3,0,0,24,0,0,0,9,0,0
11250,0,6,0,0,0,1,0,0,0,0,0,0,4,0,1
11308,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11310,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
11358,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
11543,0,10,0,9,0,1,0,0,0,0,0,0,0,0,0
11557,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11579,0,35,0,33,0,2,0,0,0,0,0,0,0,0,0
11599,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11620,0,9,0,0,0,6,0,0,0,0,1,0,2,0,0
11684,2,8,0,0,0,4,0,2,0,0,0,0,4,0,0
11728,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
11783,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11866,0,17,0,0,0,4,0,0,13,0,0,0,0,0,0
11920,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
11941,0,7,0,0,0,1,0,0,2,0,0,0,4,0,0
11950,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
12101,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0
12121,1,4,0,0,0,2,0,1,0,0,0,0,2,0,0
12196,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
12207,0,24,0,0,0,7,0,0,11,0,0,0,6,0,0
12276,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12353,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
12393,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0
12397,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
12725,0,5,0,0,0,4,0,0,0,0,0,0,1,0,0
12759,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12804,8,3,0,0,9,1,0,0,0,0,0,0,1,0,0
12813,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12817,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12821,3,60,0,0,2,22,0,1,28,0,0,0,10,0,0
12831,1,38,0,29,1,8,0,0,0,0,0,0,1,0,0
12979,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
13026,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13056,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0
13057,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13203,1,8,0,2,0,2,0,0,0,0,0,0,3,2,0
13278,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
13332,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13356,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0
13372,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
13373,12,23,0,0,9,16,0,3,7,0,0,0,0,0,0
13384,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0
13397,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13428,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13429,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
13445,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
13449,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13513,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0
13539,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
13541,1,3,0,0,0,3,0,0,0,0,0,0,1,0,0
13545,2,2,0,0,2,1,0,0,0,0,1,0,0,0,0
13547,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13555,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13586,1,10,0,0,0,9,0,0,0,1,0,0,1,0,0
13614,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13652,0,13,3,0,0,5,0,0,0,0,4,0,1,0,0
13656,0,28,0,0,0,5,0,0,0,0,20,0,3,0,0
13659,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
13666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13677,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0
13724,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0
13785,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0
13789,0,5,0,0,0,4,0,0,0,0,0,0,1,0,0
14046,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0
14094,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
14209,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
14526,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0
14835,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14852,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
15188,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0
15351,17,6,1,0,1,3,0,0,0,0,0,16,2,0,0
15409,1,3,0,0,0,2,0,0,0,0,0,1,1,0,0
15465,11,2,0,0,11,1,0,0,0,0,0,0,1,0,0
15599,2,34,0,0,1,14,1,0,11,0,1,0,8,0,0
16323,1,11,2,0,1,3,0,0,5,0,0,0,1,0,0
16351,0,7,0,0,0,0,0,0,6,0,0,0,1,0,0
16353,0,9,1,0,0,2,0,0,4,0,0,0,2,0,0
16368,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0
16372,1,8,0,0,0,1,0,0,5,0,0,0,3,0,0
16384,15,39,0,0,15,8,0,1,20,0,2,0,8,0,0
16437,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16668,12,5,1,0,0,3,0,0,0,0,1,12,0,0,0
16742,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
16843,1,7,0,0,0,4,0,1,0,0,0,0,3,0,0
16895,0,14,0,0,0,4,0,0,8,0,0,0,2,0,0
17173,1,50,0,43,0,5,1,0,0,0,0,0,2,0,0
17273,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0
17448,0,10,0,0,0,2,0,0,0,0,8,0,0,0,0
17715,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
17878,2,9,2,0,2,5,0,0,0,0,2,0,0,0,0
17889,2,10,1,0,2,1,0,0,0,0,1,0,7,0,0
18053,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0
18357,6,23,0,0,6,6,0,0,8,0,1,0,8,0,0
18421,1,8,0,0,0,3,1,0,3,0,0,0,2,0,0
20046,0,14,0,0,0,7,0,0,0,0,7,0,0,0,0
20177,4,4,0,0,1,1,0,1,0,0,0,2,3,0,0
20435,0,8,2,0,0,4,0,0,0,0,1,0,1,0,0
20733,0,4,0,0,0,0,0,0,0,0,1,0,3,0,0
20752,1,16,0,0,1,4,0,0,9,0,0,0,3,0,0
20918,0,4,0,0,0,1,0,0,0,0,0,0,3,0,0
20924,2,5,0,0,1,3,0,0,2,0,0,0,1,0,0
21401,1,9,0,0,0,6,0,1,0,0,3,0,0,0,0
21987,6,18,2,0,5,7,0,1,5,0,0,0,4,0,0
22048,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
